2024-12-11 20:00:05,959 - INFO - Step 25-50: Avg Loss=1.307617, Avg Step Time=0.104s, Avg Learning Rate=0.000750, Peak Memory Usage=5.88GB
2024-12-11 20:01:22,026 - INFO - Step 0-25: Avg Loss=1.543945, Avg Step Time=0.541s, Avg Learning Rate=0.000000, Peak Memory Usage=5.83GB
2024-12-11 20:01:24,814 - INFO - Step 25-50: Avg Loss=1.308594, Avg Step Time=0.101s, Avg Learning Rate=0.000750, Peak Memory Usage=5.88GB
2024-12-11 20:01:27,699 - INFO - Step 50-75: Avg Loss=0.095642, Avg Step Time=0.101s, Avg Learning Rate=0.001500, Peak Memory Usage=5.88GB
2024-12-11 20:01:30,514 - INFO - Step 75-100: Avg Loss=0.245239, Avg Step Time=0.104s, Avg Learning Rate=0.002250, Peak Memory Usage=5.88GB
2024-12-11 20:03:31,763 - INFO - Step 0-25: Avg Loss=1.361328, Avg Step Time=0.282s, Avg Learning Rate=0.000000, Peak Memory Usage=5.83GB
2024-12-11 20:03:34,592 - INFO - Step 25-50: Avg Loss=0.255859, Avg Step Time=0.110s, Avg Learning Rate=0.000750, Peak Memory Usage=5.88GB
2024-12-11 20:03:37,615 - INFO - Step 50-75: Avg Loss=0.743652, Avg Step Time=0.115s, Avg Learning Rate=0.001500, Peak Memory Usage=5.88GB
2024-12-11 20:03:40,408 - INFO - Step 75-100: Avg Loss=1.446289, Avg Step Time=0.099s, Avg Learning Rate=0.002250, Peak Memory Usage=5.88GB
2024-12-11 20:03:43,120 - INFO - Step 100-125: Avg Loss=1.031250, Avg Step Time=0.099s, Avg Learning Rate=0.003000, Peak Memory Usage=5.88GB
2024-12-11 20:03:45,899 - INFO - Step 125-150: Avg Loss=0.985352, Avg Step Time=0.104s, Avg Learning Rate=0.003750, Peak Memory Usage=5.88GB
2024-12-11 20:03:48,794 - INFO - Step 150-175: Avg Loss=0.386719, Avg Step Time=0.104s, Avg Learning Rate=0.004500, Peak Memory Usage=5.88GB
2024-12-11 20:03:51,577 - INFO - Step 175-200: Avg Loss=0.153198, Avg Step Time=0.100s, Avg Learning Rate=0.005250, Peak Memory Usage=5.88GB
2024-12-11 20:03:54,607 - INFO - Step 200-225: Avg Loss=0.024139, Avg Step Time=0.103s, Avg Learning Rate=0.006000, Peak Memory Usage=5.88GB
2024-12-11 20:03:57,465 - INFO - Step 225-250: Avg Loss=0.951172, Avg Step Time=0.100s, Avg Learning Rate=0.006750, Peak Memory Usage=5.88GB
2024-12-11 20:04:00,239 - INFO - Step 250-275: Avg Loss=0.845215, Avg Step Time=0.099s, Avg Learning Rate=0.007500, Peak Memory Usage=5.88GB
2024-12-11 20:04:02,975 - INFO - Step 275-300: Avg Loss=0.013763, Avg Step Time=0.097s, Avg Learning Rate=0.008250, Peak Memory Usage=5.88GB
2024-12-11 20:04:05,689 - INFO - Step 300-325: Avg Loss=0.752441, Avg Step Time=0.098s, Avg Learning Rate=0.009000, Peak Memory Usage=5.88GB
2024-12-11 20:04:08,405 - INFO - Step 325-350: Avg Loss=0.309326, Avg Step Time=0.099s, Avg Learning Rate=0.009750, Peak Memory Usage=5.88GB
2024-12-11 20:04:11,126 - INFO - Step 350-375: Avg Loss=0.658691, Avg Step Time=0.100s, Avg Learning Rate=0.010500, Peak Memory Usage=5.88GB
